Columns,02_A1.d,03_A2.d,04_A3.d,05_A4.d,06_A5.d,07_A6.d,08_A7.d,09_A8.d,10_A9.d,12_A10.d,13_A11.d,14_A12.d,15_B1.d,16_B2.d,17_B3.d,18_B4.d,19_B5.d,20_B6.d,22_B7.d,23_B8.d,24_B9.d,25_B10.d,26_B11.d,27_B12.d,28_C1.d,29_C2.d,30_C3.d,32_C4.d,33_C5.d,34_C6.d,35_C7.d,36_C8.d,37_C9.d,38_C10.d,39_C11.d,40_C12.d,42_D1.d,43_D2.d,44_D3.d,45_D4.d,46_D5.d,47_D6.d,48_D7.d,49_D8.d,50_D9.d,52_D10.d,53_D11.d,54_D12.d,55_E1.d,56_E2.d,57_E3.d,58_E4.d,59_E5.d,60_E6.d,62_E7.d,63_E8.d,64_E9.d,65_E10.d,66_E11.d,67_E12.d,68_F1.d,68_F2.d,68_F3.d,72_F4.d,73_F5.d,74_F6.d,75_F7.d,76_F8.d,77_F9.d,78_F10.d,79_F11.d,80_F12.d,82_G1.d,83_G2.d,84_G3.d,85_G4.d,86_G5.d,87_G6.d,88_G7.d,89_G8.d,90_G9.d,92_G10.d,93_G11.d,94_G12.d,95_H1.d,96_H2.d,97_H3.d,98_H4.d,99_H5.d,100_H6.d,102_H7.d,103_H8.d,104_H9.d,105_H10.d,106_H11.d,107_H12.d
C,
U,
G,
A,
m1G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m2G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,72720.0,50144.0,58888.0,66689.0,30786.0,34213.0,35777.0,50825.0,75859.0,73975.0,69663.0,75729.0,71219.0,50853.0,60749.0,81897.0,30464.0,1738882.0,36699.0,41180.0,74280.0,79092.0,60670.0,73958.0,72592.0,53247.0,61907.0,59977.0,33319.0,29881.0,37608.0,45499.0,76364.0,72828.0,78600.0,61554.0,96370.0,69676.0,85317.0,89475.0,38443.0,34163.0,42167.0,46604.0,72214.0,62515.0,58589.0,81441.0,86975.0,59477.0,71275.0,72900.0,28929.0,41303.0,53635.0,38964.0,74349.0,68984.0,75168.0,78759.0,95441.0,69554.0,68020.0,67591.0,45456.0,45368.0,40809.0,2060600.0,70645.0,63327.0,70668.0,73050.0,105530.0,62259.0,72080.0,77525.0,33448.0,35053.0,37735.0,2330339.0,59676.0,74969.0,74787.0,0,79071.0,91823.0,59822.0,81270.0,40232.0,0,37815.0,2109681.0,3344107.0,71157.0,49623.0,69716.0
ho5U,1595.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2491.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s2C,193515.0,132849.0,171745.0,199666.0,84289.0,95278.0,103119.0,150086.0,227280.0,219496.0,210029.0,226333.0,216857.0,141828.0,180472.0,237882.0,84310.0,81836.0,104022.0,112503.0,221660.0,240756.0,177733.0,212272.0,214036.0,157515.0,180204.0,170268.0,92995.0,81599.0,106424.0,132926.0,229189.0,214498.0,218884.0,171620.0,284166.0,217146.0,267052.0,264350.0,105297.0,100415.0,118253.0,131205.0,212767.0,181146.0,163863.0,241807.0,242022.0,174252.0,208854.0,221227.0,78763.0,118345.0,153041.0,110170.0,215047.0,202635.0,224202.0,224736.0,280261.0,201782.0,196430.0,197070.0,119910.0,126356.0,116041.0,0,209658.0,178098.0,211777.0,206557.0,300435.0,187409.0,207568.0,237014.0,88455.0,101072.0,108873.0,0,179343.0,222077.0,225683.0,0,216693.0,282162.0,170827.0,253142.0,111878.0,0,110014.0,109664.0,174413.0,215796.0,131987.0,202879.0
15N-dA,433518.0,322683.0,319021.0,326974.0,332157.0,323079.0,321123.0,324680.0,303106.0,299934.0,306120.0,303404.0,465613.0,351321.0,334471.0,336622.0,338453.0,342783.0,325791.0,344699.0,312113.0,298508.0,311686.0,299605.0,463002.0,343336.0,339380.0,318818.0,345731.0,349404.0,347297.0,346786.0,304192.0,299810.0,305115.0,302487.0,422182.0,318886.0,309678.0,315528.0,345355.0,345238.0,338378.0,342785.0,290258.0,286671.0,309963.0,294990.0,419626.0,329640.0,319387.0,325593.0,347626.0,339477.0,317994.0,345578.0,284477.0,286886.0,290011.0,302820.0,429248.0,323019.0,322042.0,309638.0,324250.0,331250.0,336694.0,321532.0,288059.0,295753.0,292976.0,285341.0,433050.0,325953.0,322287.0,316950.0,340940.0,336834.0,329593.0,318684.0,283376.0,273518.0,279791.0,124616.0,367599.0,302802.0,316733.0,299477.0,331063.0,297606.0,309459.0,321705.0,282442.0,278398.0,312605.0,312994.0
ac4C,2594.0,1899.0,3354.0,2377.0,1272.0,1067.0,1070.0,875.0,1650.0,1516.0,1240.0,1109.0,3071.0,2144.0,2109.0,2163.0,1009.0,856.0,1046.0,803.0,1648.0,1564.0,1280.0,1434.0,2949.0,2227.0,1594.0,2098.0,1057.0,799.0,1076.0,897.0,1167.0,975.0,1240.0,1159.0,2835.0,2393.0,2439.0,1830.0,1063.0,796.0,556.0,984.0,984.0,1278.0,997.0,1175.0,2522.0,2219.0,2054.0,1851.0,878.0,843.0,774.0,697.0,1074.0,978.0,1102.0,757.0,3878.0,1943.0,1762.0,1923.0,1580.0,637.0,730.0,483.0,1555.0,908.0,807.0,740.0,2849.0,2077.0,2477.0,2324.0,643.0,827.0,680.0,465.0,858.0,1030.0,602.0,874.0,2900.0,2602.0,3060.0,2818.0,675.0,955.0,1193.0,958.0,747.0,1019.0,1288.0,977.0
