"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\02_A1.d" ,"1" ,0.361,0.389,0.401,2.97,4.36,1.49,6.96,0.66,0.040,0.024,-1.43,-0.70,0.354,0.356,0.404,0.405,-1.43,-0.70,0.52,2.05,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\02_A1.d" ,"2" ,0.405,0.436,0.567,4.76,17.88,6.12,11.15,2.72,0.162,0.054,-1.03,-0.19,0.404,0.405,0.566,0.569,-1.03,-0.19,5.21,3.89,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\02_A1.d" ,"3" ,0.581,0.601,0.669,42.72,63.65,21.79,100.00,9.68,0.088,0.019,-0.16,1.41,0.574,0.577,0.783,0.786,-0.16,-0.16,3.00,42.55,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\02_A1.d" ,"4" ,1.177,1.239,1.362,12.36,51.05,17.48,28.94,7.76,0.185,0.065,-0.61,-0.37,1.143,1.148,1.362,1.364,-0.61,-0.37,1.65,11.83,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\02_A1.d" ,"5" ,3.204,3.326,3.485,20.66,134.65,46.10,48.38,20.48,0.281,0.102,-1.17,-0.53,3.191,3.194,3.509,3.512,-1.17,-0.53,1.28,19.77,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\02_A1.d" ,"6" ,3.523,3.606,3.720,21.44,93.91,32.15,50.19,14.28,0.197,0.068,-0.83,-1.32,3.514,3.518,3.829,3.831,-0.83,-1.32,1.13,20.40,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\02_A1.d" ,"7" ,7.102,7.299,7.505,19.88,292.11,100.00,46.55,44.42,0.403,0.300,-0.85,17.21,7.028,7.034,7.505,7.509,-0.85,17.21,1.68,27.85,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\03_A2.d"," DAD1 - B:Sig=260,4  Ref=360,60 03_A2.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\03_A2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\03_A2.d" ,"1" ,0.405,0.434,0.565,4.65,16.85,5.78,9.05,2.44,0.160,0.051,0.27,-0.01,0.402,0.409,0.563,0.569,-0.21,-0.01,3.74,4.47,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\03_A2.d" ,"2" ,0.578,0.596,0.648,51.42,68.09,23.37,100.00,9.84,0.070,0.017,0.18,0.55,0.563,0.569,0.645,0.654,0.18,0.05,3.26,51.57,,,  ,,,,,,,,,,,,
