"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI TIC MRM Frag=166.0V (** -> **) 02_WT_rRNA.d "
"No integration results available"
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@10.0 (572.0 -> 295.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,0.565,0.647,0.835,9.53,38.15,6.09,14.17,2.19,0.269,0.056,45.66,45.81,0.451,0.476,1.006,1.030,45.57,45.59,1.64,55.11,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,1.173,1.233,1.307,15.81,34.57,5.52,23.50,1.99,0.134,0.031,45.70,46.00,1.063,1.095,1.518,1.543,45.70,45.68,1.38,61.50,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,3.202,3.247,3.337,4.93,11.88,1.90,7.33,0.68,0.135,0.031,45.71,45.92,3.133,3.165,3.386,3.419,45.71,45.72,1.90,50.64,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,3.457,3.583,3.689,1.16,8.62,1.38,1.72,0.50,0.232,0.119,45.72,45.95,3.386,3.419,3.681,3.706,45.72,45.73,1.14,46.89,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"5" ,4.945,5.006,5.071,6.44,13.61,2.17,9.57,0.78,0.126,0.031,45.64,45.87,4.860,4.884,5.087,5.103,45.64,45.64,1.28,52.08,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"6" ,5.328,5.396,5.461,3.10,6.86,1.10,4.61,0.39,0.133,0.031,45.65,45.73,5.307,5.323,5.494,5.534,45.65,45.66,1.06,48.76,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"7" ,5.543,5.575,5.608,7.53,14.49,2.31,11.20,0.83,0.065,0.032,45.66,46.82,5.494,5.534,5.599,5.608,45.66,45.66,1.09,53.19,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"8" ,5.608,5.673,5.705,14.78,40.46,6.46,21.97,2.32,0.098,0.038,46.82,51.67,5.599,5.608,5.697,5.705,45.66,45.67,0.51,60.44,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"9" ,5.705,5.730,5.746,11.73,22.50,3.59,17.44,1.29,0.041,0.049,51.67,51.88,5.697,5.705,5.738,5.746,45.67,45.67,0.50,57.40,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"10" ,5.746,5.770,5.795,13.44,29.07,4.64,19.98,1.67,0.049,0.041,51.88,50.06,5.738,5.746,5.787,5.795,45.67,45.67,0.75,59.11,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"11" ,5.795,5.860,5.885,16.17,53.69,8.57,24.03,3.08,0.090,0.071,50.06,53.08,5.787,5.795,5.885,5.893,45.67,45.67,0.45,61.84,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"12" ,5.885,5.918,5.934,9.81,22.41,3.58,14.59,1.29,0.049,0.040,53.08,49.56,5.885,5.893,5.926,5.934,45.67,45.67,0.50,55.49,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"13" ,5.934,5.967,5.983,8.89,20.88,3.33,13.22,1.20,0.049,0.052,49.56,52.54,5.926,5.934,5.983,5.992,45.67,45.68,0.60,54.57,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"14" ,5.983,6.000,6.057,9.28,33.04,5.27,13.80,1.90,0.074,0.066,52.54,50.69,5.983,5.992,6.033,6.049,45.68,45.68,3.00,54.96,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"15" ,6.057,6.131,6.156,29.71,121.82,19.44,44.16,7.00,0.099,0.087,50.69,65.44,6.033,6.049,6.156,6.164,45.68,45.68,0.33,75.39,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"16" ,6.156,6.189,6.205,26.47,70.63,11.27,39.35,4.06,0.049,0.058,65.44,65.28,6.156,6.164,6.214,6.214,45.68,45.68,0.75,72.16,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"17" ,6.205,6.238,6.255,21.45,57.72,9.21,31.88,3.32,0.049,0.049,65.28,60.87,6.214,6.214,6.263,6.263,45.68,45.68,1.00,67.13,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"18" ,6.255,6.312,6.321,30.45,90.84,14.50,45.26,5.22,0.066,0.082,60.87,64.73,6.263,6.263,6.321,6.337,45.68,45.69,0.50,76.13,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"19" ,6.321,6.378,6.395,38.63,129.56,20.68,57.41,7.44,0.074,0.082,64.73,71.44,6.321,6.337,6.403,6.403,45.69,45.69,0.43,84.32,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"20" ,6.395,6.461,6.527,47.65,293.40,46.83,70.83,16.86,0.132,0.132,71.44,73.70,6.403,6.403,6.536,6.536,45.69,45.69,1.29,93.34,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"21" ,6.527,6.643,6.883,67.28,626.50,100.00,100.00,35.99,0.356,0.161,73.70,45.81,6.536,6.536,6.875,6.883,45.69,45.71,1.34,112.97,,,  ,295.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@10.0 (572.0 -> 163.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,0.582,0.647,0.835,2.93,12.29,5.86,8.56,1.75,0.253,0.060,45.69,45.72,0.419,0.460,0.794,0.843,45.69,45.69,1.83,48.62,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,3.151,3.264,3.452,0.45,4.11,1.96,1.32,0.58,0.302,0.145,45.67,45.72,2.986,3.059,3.403,3.477,45.67,45.68,3.05,46.13,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,3.452,3.575,3.860,1.08,9.20,4.38,3.16,1.31,0.407,0.121,45.72,45.69,3.403,3.477,3.893,3.918,45.68,45.69,1.98,46.76,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,5.389,5.421,5.494,2.32,4.47,2.13,6.77,0.64,0.105,0.030,45.61,45.64,5.290,5.339,5.486,5.551,45.61,45.62,1.44,47.93,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"5" ,5.746,5.779,5.787,5.97,9.03,4.30,17.45,1.28,0.041,0.041,45.63,49.06,5.616,5.706,5.787,5.795,45.63,45.64,0.53,51.61,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"6" ,5.787,5.811,5.836,6.83,15.41,7.34,19.95,2.19,0.049,0.047,49.06,48.20,5.787,5.795,5.844,5.844,45.64,45.64,1.34,52.47,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"7" ,5.836,5.885,5.918,7.63,22.06,10.51,22.30,3.14,0.082,0.041,48.20,46.91,5.844,5.844,5.910,5.918,45.64,45.65,0.80,53.28,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"8" ,5.918,5.951,6.017,2.76,6.75,3.22,8.07,0.96,0.099,0.038,46.91,45.68,5.910,5.918,6.000,6.017,45.65,45.65,0.93,48.41,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"9" ,6.017,6.050,6.082,6.64,14.04,6.69,19.40,2.00,0.066,0.034,45.68,47.00,6.000,6.017,6.074,6.082,45.65,45.66,1.10,52.29,,,  ,163.0,,,,,,,,,,,
