"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_WT_rRNA.d"
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,0.360,0.374,0.392,10.05,13.23,1.95,35.41,1.30,0.032,0.032,-1.02,-16.49,0.352,0.354,0.394,0.394,-1.02,-16.49,0.55,2.00,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,0.406,0.421,0.494,6.23,12.29,1.81,21.95,1.21,0.087,0.031,0.05,0.21,0.394,0.394,0.484,0.523,0.05,0.17,3.13,6.30,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,0.561,0.577,0.628,28.38,28.67,4.22,100.00,2.83,0.067,0.015,0.38,0.30,0.541,0.564,0.644,0.646,0.20,0.20,1.84,28.58,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,0.677,0.709,0.761,6.22,12.17,1.79,21.91,1.20,0.085,0.030,0.24,0.19,0.644,0.646,0.811,0.815,0.20,0.15,1.57,6.40,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"5" ,1.115,1.168,1.268,16.71,47.17,6.94,58.88,4.65,0.154,0.043,-0.27,-0.10,1.111,1.114,1.266,1.271,-0.28,-0.10,1.53,16.49,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"6" ,3.108,3.221,3.372,14.90,90.42,13.29,52.52,8.91,0.264,0.095,-0.77,-0.77,3.084,3.087,3.378,3.383,-0.77,-0.77,1.17,14.13,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"7" ,3.392,3.499,3.606,15.77,82.27,12.10,55.56,8.11,0.215,0.083,-0.79,-0.89,3.385,3.387,3.612,3.614,-0.79,-0.89,1.05,14.93,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"8" ,3.626,3.690,3.753,3.66,13.62,2.00,12.90,1.34,0.127,0.060,-1.00,-0.94,3.619,3.622,3.750,3.755,-1.00,-1.23,1.04,2.54,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"9" ,3.753,3.814,3.897,7.28,25.52,3.75,25.67,2.51,0.144,0.055,-0.94,-1.49,3.750,3.755,3.934,3.941,-1.23,-1.49,1.06,5.94,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"10" ,4.422,4.471,4.548,3.60,9.15,1.35,12.70,0.90,0.126,0.039,-2.15,-2.17,4.415,4.422,4.549,4.551,-2.15,-2.17,1.22,1.45,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"11" ,6.668,6.864,8.000,27.50,680.17,100.00,96.91,67.03,1.331,0.408,-1.46,-0.35,6.666,6.669,7.999,8.000,-1.46,-0.35,3.45,26.20,,,  ,,,,,,,,,,,,

