Version 1

AGILENTID,CAS,Compound ID,Name,Cpd,Hits,HMP,KEGG,LMP,METLIN,MPPID,NCBI ID,Notes,Swiss-Prot,Mass (DB),"Diff (DB, mDa)",Formula (DB),"Diff (DB, ppm)",RT (DB),RT Diff (DB),Score (DB),Shared (DB),Unique (DB),"Diff (MFG, mDa)",Mass (MFG),Formula (MFG),"Diff (MFG, ppm)",Score (MFG),Tgt Hit Pos,Score Diff,Abund,Mining Algorithm,Area,Avg Mass,Base Peak,Z Count,CE,MS/MS Count,File,"Diff (DB,Å²)","Diff (DB,Ω %)",DT,End,Formula,FV,Height,ID Source,ID Techniques Applied,Ions,Polarity,Label,Max Z,Min Z,Modified,Mass,Score,m/z,m/z (prod.),RT,Saturated,Start,Width,Ω (Å²),"Ω (DB,Å²)",Lib/DB,Score (Lib),Cpds/Group,Group,Std Dev,Score (MFE),Vol %,Vol,Primary Base,Primary Note,ADC% Area,ADC% Height,EIC/TIC% Area,EIC/TIC% Height,TIC% Area,TIC% Height,TWC% Area,TWC% Height,UVA% Area,UVA% Height,UVB% Area,UVB% Height,UVC% Area,UVC% Height,Purity Comments,Purity Result,Purity Value,Score (Bio),"Diff (Bio, mDa)","Diff (Bio, ppm)",Uncertainty,Fit Score,Enzyme,Hits (BioConfirm),Links,Seq Loc,Rule,Missed,Mods,Significance,Pred Mods,Sequence,Seq Name,Seq Type,Tgt Seq Mass,Score (Frag Coelution),FIs Conf.,FIs Conf. %,Score (Frag Ratio),FragMassDiff(ppm),FIs Eval.,Source,"Diff (Tgt, mDa)",Formula (Tgt),"Diff (Tgt, ppm)",RT (Tgt),RT Diff (Tgt),Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),TargetID,Sample Name,Sample Type,Instrument Name,Position,User Name,Acq Method,DA Method,IRM Calibration status
,,,man/galQ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,Find by MRM,453,,,,10.0,,56_E2.d,,,,6.826,,,44,Acq,Acq,,Positive,Cpd 1: man/galQ 6.619,,,,,100.00,572.0,163.0,6.619,,6.512,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56_E2,Sample,Instrument 1,P3-E2,,072921 BEH C18 method interpreted from 062921.m,Default-LCMS.m,Success,
,,,oHyW,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,Find by MRM,671,,,,10.0,,56_E2.d,,,,0.794,,,190,Acq,Acq,,Positive,Cpd 2: oHyW 0.631,,,,,100.00,525.0,393.0,0.631,,0.566,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56_E2,Sample,Instrument 1,P3-E2,,072921 BEH C18 method interpreted from 062921.m,Default-LCMS.m,Success,
,,,yW,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,Find by MRM,315,,,,10.0,,56_E2.d,,,,6.505,,,28,Acq,Acq,,Positive,Cpd 3: yW 6.413,,,,,100.00,509.0,377.0,6.413,,6.207,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56_E2,Sample,Instrument 1,P3-E2,,072921 BEH C18 method interpreted from 062921.m,Default-LCMS.m,Success,
,,,ms2t6A,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,Find by MRM,280,,,,10.0,,56_E2.d,,,,6.780,,,48,Acq,Acq,,Positive,Cpd 4: ms2t6A 6.622,,,,,100.00,459.0,327.0,6.622,,6.605,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56_E2,Sample,Instrument 1,P3-E2,,072921 BEH C18 method interpreted from 062921.m,Default-LCMS.m,Success,
,,,m6t6A,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,Find by MRM,8414,,,,8.0,,56_E2.d,,,,5.723,,,2325,Acq,Acq,,Positive,Cpd 5: m6t6A 5.568,,,,,100.00,427.0,295.0,5.568,,5.511,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56_E2,Sample,Instrument 1,P3-E2,,072921 BEH C18 method interpreted from 062921.m,Default-LCMS.m,Success,
,,,tm5s2U,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,Find by MRM,10603,,,,4.0,,56_E2.d,,,,6.192,,,2985,Acq,Acq,,Positive,Cpd 6: tm5s2U 6.003,,,,,100.00,398.0,266.0,6.003,,5.930,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56_E2,Sample,Instrument 1,P3-E2,,072921 BEH C18 method interpreted from 062921.m,Default-LCMS.m,Success,
,,,tm5U,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,Find by MRM,783,,,,4.0,,56_E2.d,,,,6.774,,,207,Acq,Acq,,Positive,Cpd 7: tm5U 6.617,,,,,100.00,382.0,250.0,6.617,,6.534,0.240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56_E2,Sample,Instrument 1,P3-E2,,072921 BEH C18 method interpreted from 062921.m,Default-LCMS.m,Success,
,,,cmnm5U,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,Find by MRM,67,,,,8.0,,56_E2.d,,,,1.321,,,24,Acq,Acq,,Positive,Cpd 8: cmnm5U 1.244,,,,,100.00,332.0,200.0,1.244,,1.201,0.120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56_E2,Sample,Instrument 1,P3-E2,,072921 BEH C18 method interpreted from 062921.m,Default-LCMS.m,Success,
,,,ncm5Um,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,Find by MRM,3060,,,,4.0,,56_E2.d,,,,6.204,,,359,Acq,Acq,,Positive,Cpd 9: ncm5Um 6.088,,,,,100.00,316.0,170.0,6.088,,5.981,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56_E2,Sample,Instrument 1,P3-E2,,072921 BEH C18 method interpreted from 062921.m,Default-LCMS.m,Success,
,,,nm5s2U,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,Find by MRM,356,,,,4.0,,56_E2.d,,,,0.913,,,89,Acq,Acq,,Positive,Cpd 10: nm5s2U 0.831,,,,,100.00,290.0,158.0,0.831,,0.766,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56_E2,Sample,Instrument 1,P3-E2,,072921 BEH C18 method interpreted from 062921.m,Default-LCMS.m,Success,
