"F:\LCMS\01-19-22\WT\2-L.d"," DAD1 - B:Sig=260,4  Ref=360,60 2-L.d"
"F:\LCMS\01-19-22\WT\2-L.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"F:\LCMS\01-19-22\WT\2-L.d" ,"1" ,0.349,0.364,0.393,5.44,11.81,3.88,14.98,1.36,0.043,0.036,-0.79,-9.11,0.340,0.344,0.394,0.394,-0.79,-9.11,0.90,1.77,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\2-L.d" ,"2" ,0.394,0.414,0.526,11.79,41.00,13.47,32.45,4.74,0.132,0.129,-9.29,-0.24,0.394,0.394,0.525,0.531,-9.29,-0.24,7.61,3.83,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\2-L.d" ,"3" ,0.571,0.590,0.663,36.32,51.52,16.92,100.00,5.95,0.092,0.020,-0.15,-0.08,0.570,0.571,0.670,0.674,-0.25,-0.21,2.13,36.08,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\2-L.d" ,"4" ,0.726,0.752,0.809,9.84,17.43,5.73,27.09,2.01,0.083,0.027,-0.29,-0.38,0.717,0.724,0.810,0.815,-0.29,-0.38,1.79,9.53,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\2-L.d" ,"5" ,1.164,1.211,1.328,31.96,79.15,26.00,87.98,9.15,0.163,0.037,-0.51,-0.38,1.137,1.142,1.327,1.329,-0.55,-0.38,1.50,31.46,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\2-L.d" ,"6" ,3.142,3.256,3.427,27.68,154.26,50.67,76.20,17.83,0.285,0.086,-1.11,-1.08,3.134,3.136,3.426,3.437,-1.18,-1.08,1.23,26.54,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\2-L.d" ,"7" ,3.437,3.536,3.657,29.82,139.87,45.94,82.11,16.17,0.220,0.073,-1.07,-0.98,3.426,3.437,3.654,3.659,-1.08,-0.98,1.16,28.79,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\2-L.d" ,"8" ,3.659,3.717,3.774,5.35,18.24,5.99,14.73,2.11,0.115,0.055,-0.97,-0.69,3.654,3.659,3.773,3.775,-0.97,-1.24,1.15,4.24,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\2-L.d" ,"9" ,3.774,3.828,3.904,10.75,34.60,11.36,29.59,4.00,0.130,0.050,-0.69,-1.56,3.773,3.775,3.933,3.936,-1.24,-1.56,1.11,9.37,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\2-L.d" ,"10" ,4.435,4.484,4.564,5.26,12.93,4.25,14.49,1.49,0.129,0.037,-2.54,-2.55,4.426,4.436,4.563,4.566,-2.54,-2.58,1.32,2.71,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\2-L.d" ,"11" ,7.085,7.284,7.505,20.52,304.44,100.00,56.49,35.18,0.420,0.310,-1.18,16.73,7.026,7.029,7.505,7.509,-1.18,16.73,1.84,27.84,,,  ,,,,,,,,,,,,

"F:\LCMS\01-19-22\WT\3-L.d"," DAD1 - B:Sig=260,4  Ref=360,60 3-L.d"
"F:\LCMS\01-19-22\WT\3-L.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"F:\LCMS\01-19-22\WT\3-L.d" ,"1" ,0.349,0.364,0.392,5.05,10.96,3.60,13.82,1.33,0.043,0.035,-0.70,-8.53,0.340,0.343,0.393,0.394,-0.70,-8.53,0.91,1.66,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\3-L.d" ,"2" ,0.394,0.413,0.526,11.21,39.02,12.80,30.72,4.72,0.133,0.127,-8.84,-0.25,0.393,0.394,0.525,0.529,-8.84,-0.25,7.68,3.62,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\3-L.d" ,"3" ,0.569,0.586,0.654,36.50,47.99,15.75,100.00,5.81,0.086,0.019,-0.10,0.11,0.566,0.569,0.665,0.670,-0.25,-0.29,2.18,36.24,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\3-L.d" ,"4" ,0.712,0.743,0.816,9.12,16.62,5.45,25.00,2.01,0.104,0.027,-0.35,-0.40,0.710,0.712,0.831,0.836,-0.35,-0.40,1.80,8.76,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\3-L.d" ,"5" ,1.151,1.199,1.321,29.86,74.56,24.47,81.82,9.03,0.170,0.037,-0.54,-0.40,1.134,1.136,1.331,1.334,-0.60,-0.45,1.50,29.30,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\3-L.d" ,"6" ,3.112,3.226,3.395,25.81,143.65,47.14,70.70,17.39,0.282,0.086,-1.11,-1.06,3.109,3.111,3.394,3.396,-1.14,-1.06,1.24,24.70,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\3-L.d" ,"7" ,3.419,3.514,3.634,26.75,130.35,42.77,73.30,15.78,0.215,0.076,-1.00,-1.06,3.409,3.412,3.634,3.642,-1.00,-1.06,1.16,25.73,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\3-L.d" ,"8" ,3.641,3.703,3.761,4.78,16.27,5.34,13.09,1.97,0.120,0.055,-1.07,-0.78,3.634,3.642,3.760,3.762,-1.07,-1.07,1.16,3.71,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\3-L.d" ,"9" ,3.761,3.816,3.876,9.54,30.01,9.85,26.15,3.63,0.115,0.050,-0.78,-1.14,3.760,3.762,3.906,3.909,-1.10,-1.14,1.11,8.43,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\3-L.d" ,"10" ,4.434,4.478,4.541,4.90,11.79,3.87,13.42,1.43,0.108,0.037,-2.52,-2.49,4.431,4.433,4.540,4.543,-2.52,-2.55,1.31,2.37,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\3-L.d" ,"11" ,7.083,7.286,7.505,20.47,304.76,100.00,56.09,36.90,0.422,0.309,-1.37,16.69,7.028,7.031,7.505,7.509,-1.37,16.69,1.81,27.78,,,  ,,,,,,,,,,,,

"F:\LCMS\01-19-22\WT\5-S.d"," DAD1 - B:Sig=260,4  Ref=360,60 5-S.d"
