"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d" ,"1" ,0.408,0.424,0.486,14.62,37.79,4.40,38.15,2.96,0.078,0.039,-0.30,3.08,0.395,0.395,0.476,0.491,-0.30,-0.23,4.35,14.33,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d" ,"2" ,0.486,0.509,0.559,10.10,23.12,2.69,26.35,1.81,0.074,0.032,3.08,1.38,0.476,0.491,0.551,0.566,-0.23,-0.18,1.69,9.88,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d" ,"3" ,0.599,0.622,0.712,38.31,67.69,7.87,100.00,5.29,0.113,0.024,0.89,0.50,0.591,0.603,0.775,0.779,-0.14,-0.05,2.51,38.18,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d" ,"4" ,1.196,1.249,1.346,17.95,56.82,6.61,46.86,4.44,0.150,0.049,-0.38,-0.21,1.187,1.190,1.354,1.359,-0.38,-0.21,1.54,17.63,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d" ,"5" ,3.230,3.346,3.492,22.27,133.25,15.50,58.12,10.42,0.262,0.094,-1.08,-0.61,3.220,3.222,3.529,3.547,-1.08,-0.61,1.26,21.40,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d" ,"6" ,3.542,3.632,3.747,22.79,100.17,11.65,59.49,7.83,0.205,0.069,-1.09,-1.32,3.529,3.547,3.755,3.759,-1.09,-1.32,1.16,21.60,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d" ,"7" ,7.028,8.832,8.836,0.04,859.74,100.00,0.11,67.24,1.808,0.007,-3.67,-0.39,8.827,8.831,8.852,8.860,1.47,-0.39,0.66,-0.34,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\03_A2.d"," DAD1 - B:Sig=260,4  Ref=360,60 03_A2.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\03_A2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\03_A2.d" ,"1" ,0.365,0.380,0.386,4.40,2.99,1.05,9.25,0.41,0.020,0.011,-0.20,-0.16,0.353,0.355,0.396,0.396,-0.20,-0.16,0.44,4.23,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\03_A2.d" ,"2" ,0.409,0.426,0.488,9.50,24.12,8.43,19.96,3.34,0.079,0.037,-0.12,1.90,0.396,0.396,0.475,0.494,-0.12,0.03,4.14,9.42,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\03_A2.d" ,"3" ,0.488,0.512,0.559,7.24,15.16,5.30,15.21,2.10,0.071,0.030,1.90,0.82,0.475,0.494,0.552,0.567,0.03,0.17,1.50,7.32,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\03_A2.d" ,"4" ,0.590,0.609,0.689,47.62,73.46,25.68,100.00,10.16,0.099,0.021,0.92,0.64,0.584,0.593,0.749,0.754,0.23,0.41,2.95,47.89,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\03_A2.d" ,"5" ,1.161,1.216,1.324,20.48,62.75,21.94,43.00,8.68,0.163,0.047,-0.39,-0.19,1.154,1.160,1.321,1.326,-0.40,-0.19,1.63,20.15,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\03_A2.d" ,"6" ,3.176,3.292,3.466,23.90,145.79,50.97,50.18,20.17,0.290,0.095,-0.98,-0.72,3.156,3.159,3.490,3.491,-0.98,-0.72,1.25,23.02,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\03_A2.d" ,"7" ,3.502,3.595,3.715,23.06,108.88,38.07,48.41,15.06,0.213,0.074,-0.88,-1.24,3.495,3.497,3.719,3.722,-0.88,-1.24,1.13,22.02,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\03_A2.d" ,"8" ,3.822,3.866,3.932,1.15,3.59,1.26,2.42,0.50,0.110,0.049,-1.37,-1.81,3.816,3.821,3.955,3.957,-1.37,-1.81,0.83,-0.39,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\03_A2.d" ,"9" ,7.106,7.292,7.505,19.64,286.05,100.00,41.24,39.57,0.400,0.302,-0.45,16.33,7.025,7.032,7.505,7.509,-0.45,16.33,1.80,27.03,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\04_A3.d"," DAD1 - B:Sig=260,4  Ref=360,60 04_A3.d"
