"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d" ,"1" ,0.363,0.378,0.391,26.10,27.51,3.91,92.49,2.73,0.028,0.030,-1.08,-40.70,0.355,0.356,0.393,0.394,-1.08,-40.70,0.41,4.32,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d" ,"2" ,0.406,0.425,0.468,14.30,33.32,4.74,50.66,3.31,0.062,0.039,-0.03,3.41,0.393,0.394,0.458,0.484,-0.03,0.02,3.25,14.28,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d" ,"3" ,0.468,0.507,0.564,12.51,34.18,4.86,44.33,3.39,0.097,0.037,3.41,0.11,0.458,0.484,0.563,0.568,0.02,0.11,1.05,12.57,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d" ,"4" ,0.569,0.601,0.654,22.12,28.89,4.11,78.40,2.87,0.086,0.017,0.36,0.24,0.563,0.568,0.663,0.665,0.12,0.19,0.99,22.27,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d" ,"5" ,1.159,1.219,1.322,12.31,38.56,5.48,43.61,3.83,0.163,0.048,-0.18,-0.13,1.156,1.160,1.322,1.324,-0.18,-0.13,1.47,12.14,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d" ,"6" ,3.174,3.299,3.458,12.39,75.05,10.67,43.92,7.45,0.284,0.095,-0.87,-0.94,3.171,3.176,3.462,3.472,-0.87,-0.94,1.18,11.49,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d" ,"7" ,3.484,3.572,3.676,14.43,65.78,9.35,51.12,6.53,0.192,0.072,-0.87,-1.09,3.462,3.472,3.682,3.688,-0.87,-1.09,1.05,13.45,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d" ,"8" ,6.638,6.861,8.000,28.22,703.69,100.00,100.00,69.88,1.362,0.407,-1.83,-0.18,6.633,6.639,7.999,8.000,-1.83,-0.18,4.16,26.66,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\03_A2.d"," DAD1 - B:Sig=260,4  Ref=360,60 03_A2.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\03_A2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\03_A2.d" ,"1" ,0.362,0.377,0.391,23.55,26.28,3.73,83.54,2.78,0.029,0.029,-1.83,-38.59,0.356,0.357,0.393,0.394,-1.83,-38.59,0.45,2.29,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\03_A2.d" ,"2" ,0.408,0.426,0.478,12.05,27.36,3.88,42.74,2.90,0.070,0.036,-0.16,1.52,0.393,0.394,0.466,0.484,-0.16,-0.10,3.20,11.90,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\03_A2.d" ,"3" ,0.478,0.509,0.566,11.56,28.74,4.08,41.01,3.04,0.088,0.035,1.52,0.69,0.466,0.484,0.560,0.571,-0.10,-0.03,1.21,11.48,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\03_A2.d" ,"4" ,0.568,0.594,0.646,19.18,21.39,3.04,68.05,2.27,0.078,0.015,0.76,0.04,0.560,0.571,0.655,0.658,-0.03,0.04,1.13,19.17,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\03_A2.d" ,"5" ,1.128,1.178,1.277,9.89,29.48,4.18,35.10,3.12,0.149,0.045,-0.26,-0.21,1.120,1.122,1.274,1.279,-0.26,-0.27,1.61,9.63,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\03_A2.d" ,"6" ,3.107,3.223,3.371,9.41,56.22,7.98,33.38,5.96,0.264,0.093,-0.91,-0.90,3.090,3.094,3.387,3.390,-0.91,-0.90,1.18,8.50,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\03_A2.d" ,"7" ,3.413,3.512,3.615,9.82,49.82,7.07,34.84,5.28,0.203,0.080,-0.95,-1.18,3.402,3.408,3.632,3.647,-0.95,-1.18,1.03,8.76,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\03_A2.d" ,"8" ,6.648,6.869,8.000,28.19,704.46,100.00,100.00,74.64,1.352,0.408,-1.96,-0.35,6.635,6.639,7.999,8.000,-1.96,-0.35,3.88,26.49,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\04_A3.d"," DAD1 - B:Sig=260,4  Ref=360,60 04_A3.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\04_A3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\04_A3.d" ,"1" ,0.362,0.378,0.391,20.86,22.84,3.25,56.76,2.12,0.029,0.029,-1.71,-34.97,0.356,0.357,0.393,0.394,-1.71,-34.97,0.43,1.09,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\04_A3.d" ,"2" ,0.408,0.426,0.479,12.26,27.88,3.97,33.37,2.58,0.071,0.036,0.03,1.76,0.393,0.394,0.466,0.485,0.03,0.09,3.36,12.31,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\04_A3.d" ,"3" ,0.479,0.509,0.564,11.18,27.77,3.95,30.43,2.57,0.085,0.036,1.76,0.33,0.466,0.485,0.561,0.568,0.09,0.17,1.14,11.30,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\04_A3.d" ,"4" ,0.572,0.591,0.644,36.75,39.08,5.56,100.00,3.62,0.072,0.015,1.61,0.44,0.561,0.568,0.654,0.656,0.18,0.25,1.76,36.94,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\04_A3.d" ,"5" ,1.118,1.168,1.274,18.73,55.38,7.88,50.97,5.13,0.156,0.045,-0.14,-0.01,1.108,1.117,1.289,1.292,-0.14,-0.01,1.61,18.63,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\04_A3.d" ,"6" ,3.092,3.199,3.371,17.83,106.69,15.18,48.52,9.89,0.279,0.093,-0.68,-0.73,3.065,3.069,3.371,3.372,-0.68,-0.75,1.24,17.13,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\04_A3.d" ,"7" ,3.376,3.494,3.605,18.04,96.15,13.68,49.08,8.92,0.228,0.084,-0.71,-0.82,3.371,3.372,3.627,3.629,-0.76,-0.82,1.02,17.25,,,  ,,,,,,,,,,,,
