Columns,02_A1.d,03_A2.d,04_A3.d,05_A4.d,06_A5.d,07_A6.d,08_A7.d,09_A8.d,10_A9.d,12_A10.d,13_A11.d,14_A12.d,15_B1.d,16_B2.d,17_B3.d,18_B4.d,19_B5.d,20_B6.d,22_B7.d,23_B8.d,24_B9.d,25_B10.d,26_B11.d,27_B12.d,28_C1.d,29_C2.d,30_C3.d,32_C4.d,33_C5.d,34_C6.d,35_C7.d,36_C8.d,37_C9.d,38_C10.d,39_C11.d,40_C12.d,42_D1.d,43_D2.d,44_D3.d,45_D4.d,46_D5.d,47_D6.d,48_D7.d,49_D8.d,50_D9.d,52_D10.d,53_D11.d,54_D12.d,55_E1.d,56_E2.d,57_E3.d,58_E4.d,59_E5.d,60_E6.d,62_E7.d,63_E8.d,64_E9.d,65_E10.d,66_E11.d,67_E12.d,68_F1.d,68_F2.d,68_F3.d,72_F4.d,73_F5.d,74_F6.d,75_F7.d,76_F8.d,77_F9.d,78_F10.d,79_F11.d,80_F12.d,82_G1.d,83_G2.d,84_G3.d,85_G4.d,86_G5.d,87_G6.d,88_G7.d,89_G8.d,90_G9.d,92_G10.d,93_G11.d,94_G12.d,95_H1.d,96_H2.d,97_H3.d,98_H4.d,99_H5.d,100_H6.d,102_H7.d,103_H8.d,104_H9.d,105_H10.d,106_H11.d,107_H12.d
C,63.65,68.09,62.21,75.97,64.24,78.88,59.61,70.73,60.34,67.23,63.75,70.95,59.05,72.36,61.18,72.39,63.47,72.18,47.26,69.16,63.04,63.24,48.84,51.42,69.21,63.37,61.18,64.47,62.9,64.36,57.8,47.2,56.4,59.94,62.79,54.45,55.32,69.05,70.69,66.02,59.27,54.6,39.5,54.23,61.03,55.44,52.5,51.46,59.3,69.63,61.89,69.41,52.38,52.87,55.37,57.36,56.28,55.99,53.91,61.73,60.81,58.47,55.36,65.09,64.07,50.1,59.76,52.62,31.43,62.83,62.66,54.45,61.13,65.49,61.72,53.78,50.68,52.14,54.67,57.12,50.85,59.07,54.17,58.76,67.02,62.46,68.04,71.48,45.71,56.27,74.23,55.95,53.12,61.41,29.26,48.77
U,51.05,56.57,50.85,62.85,56.03,64.87,46.73,58.82,51.71,53.88,55.47,60.67,49.51,56.06,50.94,61.75,51.92,61.79,41.61,58.43,51.08,52.99,42.19,43.31,56.53,51.81,51.2,56.05,49.6,53.58,47.02,39.93,48.23,50.27,51.94,45.72,46.58,56.4,58.81,54.87,47.26,51.83,31.13,45.08,49.17,47.77,49.55,42.98,48.36,57.09,50.37,63.89,43.39,46.63,46.24,48.5,52.37,44.17,49.69,50.13,49.36,44.74,46.18,54.1,51.17,46.5,48.6,47.48,28.78,51.14,50.53,43.21,53.92,53.35,49.99,47.79,42.05,43.62,45.41,44.99,46.9,49.24,49.81,47.76,60.63,56.93,55.03,62.71,36.21,51.86,61.31,51.57,48.87,56.29,25.97,38.83
G,134.65,151.27,136.16,172.32,144.62,170.84,126.87,151.36,135.52,143.21,142.63,156.37,129.46,146.96,132.57,159.56,149.28,158.21,103.33,146.67,135.67,135.01,106.69,107.78,143.71,137.86,133.21,150.21,134.84,140.39,122.91,102.01,123.76,126.78,133.98,116.33,112.67,141.79,162.06,140.88,119.62,132.36,81.7,113.62,127.31,118.73,124.03,106.96,124.54,155.62,128.35,163.74,107.73,111.86,116.89,119.47,133.28,117.97,128.76,123.29,127.68,115.83,115.13,137.35,135.29,121.2,122.71,124.58,74.88,140.69,133.44,113.63,143.94,135.45,131.12,124.41,100.58,109.99,114.29,117.43,121.61,123.99,128.53,130.8,157.69,146.32,140.07,153.31,92.64,135.42,165.54,132.45,125.28,144.35,64.59,99.97
A,93.91,102.85,95.29,117.96,99.52,118.92,88.48,106.6,92.19,98.17,98.43,104.14,88.45,104.05,92.8,108.24,103.24,109.55,72.47,103.94,94.91,95.2,73.55,76.13,99.89,95.22,93.43,103.84,92.24,98.4,84.3,71.32,85.43,87.73,90.75,80.4,80.91,103.33,114.22,97.24,85.57,92.76,55.01,80.7,88.02,84.05,87.99,73.45,89.17,110.46,88.85,114.17,75.76,82.14,81.77,83.23,93.35,81.32,90.35,87.25,87.95,82.85,81.25,95.95,94.06,84.97,85.83,85.96,49.17,99.47,92.79,78.33,100.63,94.78,90.87,86.91,74.11,78.0,79.61,81.82,83.76,85.59,90.01,92.11,115.17,101.62,97.76,108.26,64.27,95.34,115.9,92.81,88.06,100.57,45.25,68.81
m1G,777833.01,859707.78,809548.49,1017434.68,812761.2,1003046.65,730996.67,900706.47,765154.75,818510.06,815145.6,909492.96,755919.61,881247.66,757757.97,928948.58,826772.05,906483.19,603249.76,863597.33,799237.13,786245.65,636956.56,634468.33,856898.91,795126.2,768758.82,813927.97,779899.71,834240.6,703600.91,615454.81,705093.84,733965.37,764668.72,678942.32,667763.63,842619.95,887309.32,842867.0,716615.7,773007.88,479655.09,679706.22,742629.22,682285.09,754464.85,614025.18,724158.63,826706.67,748711.42,976897.61,638596.64,706016.52,691678.57,734776.72,792041.4,694172.17,754572.68,755583.52,768022.98,720166.12,687231.2,841815.49,799366.43,729865.94,727715.16,738951.59,452379.12,761503.08,808325.44,679698.01,811523.03,808579.53,788780.34,765474.22,636912.83,663875.06,658701.71,704918.31,721198.36,714690.86,776481.66,730602.76,933312.72,883756.42,832403.84,979181.02,543036.11,808613.19,929510.59,804622.09,769864.12,869419.96,407413.45,593755.89
m2G,11609.94,13103.04,9679.33,11526.4,12017.96,13179.99,9597.59,9923.5,11893.64,11274.75,13087.77,9186.07,12397.34,11227.65,9821.55,11919.76,10068.67,12849.35,8063.26,14421.44,10466.25,8643.58,9010.22,9935.04,9644.99,11291.64,10733.28,11366.44,0,11412.57,8127.97,7547.98,9822.51,9418.94,11409.32,7508.26,10970.49,8463.12,11815.81,9850.88,8449.83,10700.89,7192.66,9658.11,11005.79,10032.55,10299.96,9657.15,11132.78,9881.55,12200.53,0,9951.87,9444.9,8547.23,9788.75,10914.78,7960.99,10172.52,8879.25,11672.67,8872.16,9518.84,11581.48,9710.05,11801.5,10433.83,10632.83,6728.01,10992.6,9480.38,10092.98,10896.37,9683.4,8690.15,8699.16,9241.13,8241.75,10107.0,10583.08,9577.62,10889.08,10795.37,9989.14,14234.09,13437.68,10906.86,11391.62,16387.72,8457.34,14021.34,11159.82,0,8716.73,9346.99,8350.86
I,94022.54,105719.52,97355.72,122048.38,97564.7,122746.57,90112.64,112217.35,93826.29,103209.99,98844.64,108657.97,88957.11,106243.35,90684.35,113806.84,100226.05,114621.74,74370.92,104073.7,102708.02,96260.71,78729.29,76071.89,102197.09,95261.58,96125.7,99258.89,97492.16,96146.25,86165.84,73223.8,84205.07,86544.79,94403.19,83043.96,80668.7,102100.22,103106.03,94716.5,84119.47,92529.27,61643.25,78782.33,87326.76,84350.05,89015.66,72836.49,87765.23,101415.31,91299.58,119227.3,79374.85,80893.6,84872.39,88151.97,96544.22,87424.86,88716.33,86556.74,88292.95,84721.48,80915.75,98857.48,94594.08,83252.79,88845.53,88461.3,53192.48,90850.19,92746.22,81570.75,99078.63,96793.07,93381.8,89219.61,76178.66,77517.57,81582.01,82656.39,85981.5,87704.44,93677.55,85923.08,189367.13,104319.51,97433.65,109323.41,66445.72,96907.56,111092.25,91780.11,85824.68,102092.66,47096.88,70041.43
ho5U,2194.43,2372.04,1721.02,2497.37,1848.35,2557.9,1769.89,2114.54,1938.07,1986.07,1908.22,2613.17,2053.44,2168.22,2054.33,2615.94,2155.06,2293.12,1603.42,1969.28,2042.8,2211.27,939.29,1999.01,2587.76,1993.93,2015.78,2289.82,1738.49,888.18,1929.84,1780.25,1533.83,2092.38,2171.91,1731.03,1540.22,2385.34,2413.54,2226.29,1388.54,1424.36,1753.8,1888.83,1808.83,1942.7,1758.93,1990.71,2012.54,2600.89,2106.56,1883.16,1849.79,529.55,2303.9,2072.63,2039.55,1786.46,2340.88,1940.22,2042.8,1191.99,2117.15,2895.43,2026.91,1438.18,2012.89,2084.94,557.95,2298.73,2440.46,2077.19,2189.32,2163.07,2153.31,1764.5,1648.88,2045.4,1824.65,2025.82,920.71,2010.25,2115.5,2045.9,2546.86,2301.22,2177.19,1046.64,1590.1,2117.29,2800.21,2356.9,2084.15,2560.32,723.36,1701.05
s2C,245329.28,271373.49,256615.73,315451.9,256815.97,312731.32,233470.86,289328.71,242575.02,262888.94,259612.84,293786.13,225009.4,277795.8,239774.94,285204.65,257295.62,293716.0,182894.09,274201.54,249227.03,246999.99,191510.93,199090.54,260685.74,249755.91,243974.26,259076.76,235137.39,256475.47,222243.06,181756.73,218142.97,223128.83,237743.54,215835.99,203616.9,262745.01,269610.76,245560.04,210383.25,237734.4,144176.48,206585.26,225686.04,205597.58,221565.78,182928.62,218038.26,262021.5,227497.04,294421.72,182468.99,193727.4,212732.23,213738.05,250479.05,208732.82,234429.11,223120.61,227081.45,205731.42,205294.61,249843.18,240037.25,213753.39,221757.05,222080.92,127692.49,232202.59,245114.68,205436.61,236278.55,237076.42,229546.05,221942.9,185131.66,192577.08,200635.9,212852.45,220069.05,224554.73,236959.62,228686.72,288646.52,263255.53,252771.6,285497.47,154315.06,255569.7,295429.55,237963.42,220111.18,270217.97,116172.52,175778.78
15N-dA,336516.02,331359.49,350514.9,339210.97,349239.67,342155.73,349139.6,336973.09,345751.96,340674.72,344073.77,323099.79,358592.77,346364.32,360290.32,354855.06,354476.14,342298.0,349252.61,336177.58,331132.31,342792.65,334799.94,341610.73,349777.88,343136.41,349653.39,342350.74,342236.23,344188.69,344588.58,337649.59,334883.43,334191.12,325372.1,324881.81,340494.93,331437.38,344473.57,341822.68,337722.81,336061.17,348416.99,334765.49,335471.8,331281.26,333301.14,333054.28,346049.76,338687.44,351958.01,336141.23,346338.53,335914.6,337402.59,333700.06,328174.04,333277.46,327376.6,325310.98,338896.55,335202.71,347464.6,334057.99,330029.83,331746.94,333508.41,330786.53,332330.18,325349.77,321038.18,322517.56,327359.07,333192.14,337558.09,339039.8,334453.44,329614.86,339680.62,334021.77,321325.97,314042.66,307137.35,314036.87,320639.18,322611.31,329900.75,321406.07,328084.03,316870.29,309031.67,321421.49,317404.6,317528.19,324925.78,316466.37
