Columns,77_F9.d,106_H11.d,02_A1.d,03_A2.d,04_A3.d,05_A4.d,06_A5.d,07_A6.d,08_A7.d,09_A8.d,10_A9.d,12_A10.d,13_A11.d,14_A12.d,15_B1.d,16_B2.d,17_B3.d,18_B4.d,19_B5.d,20_B6.d,22_B7.d,23_B8.d,24_B9.d,25_B10.d,26_B11.d,27_B12.d,28_C1.d,29_C2.d,30_C3.d,32_C4.d,33_C5.d,34_C6.d,35_C7.d,36_C8.d,37_C9.d,38_C10.d,39_C11.d,40_C12.d,42_D1.d,43_D2.d,44_D3.d,45_D4.d,46_D5.d,47_D6.d,48_D7.d,49_D8.d,50_D9.d,52_D10.d,53_D11.d,54_D12.d,55_E1.d,56_E2.d,57_E3.d,58_E4.d,59_E5.d,60_E6.d,62_E7.d,63_E8.d,64_E9.d,65_E10.d,66_E11.d,67_E12.d,68_F1.d,68_F2.d,68_F3.d,72_F4.d,73_F5.d,74_F6.d,75_F7.d,76_F8.d,78_F10.d,79_F11.d,80_F12.d,82_G1.d,83_G2.d,84_G3.d,85_G4.d,86_G5.d,87_G6.d,88_G7.d,89_G8.d,90_G9.d,92_G10.d,93_G11.d,94_G12.d,95_H1.d,96_H2.d,97_H3.d,98_H4.d,99_H5.d,100_H6.d,102_H7.d,103_H8.d,104_H9.d,105_H10.d,107_H12.d
ac4C,2.784044954,2.350148531,0.886493045,1.428121946,1.418257369,0.893054041,1.51145309,1.036991568,1.433213381,0.868415878,0.739528668,0.876830451,0.841430592,0.712247598,1.058161401,1.376480633,0.784785295,0.815169304,0.441346155,0.779011943,0.684837405,1.122946577,0.920043218,0.459505318,1.338151545,0.700655989,1.250814546,1.194327472,1.093240393,0.665696032,0.847992732,0.677060952,1.028546526,1.424710275,0.569009842,0.898758549,0.737368907,0.775170077,1.519505645,1.264173573,0.930499533,0.890178116,1.267143015,0.681418592,0.901948048,0.612833877,0.587178015,0.86393465,0.4926413,0.878191795,1.237251096,0.754145732,0.920423487,0.665442684,1.150288972,1.14510711,0.680270707,0.659827204,0.72900802,0.729851899,0.960509203,0.734667981,1.303578012,1.257867969,1.383592026,0.891270887,1.060381127,0.935187044,1.074425869,0.797593453,0.777294317,0.784205175,0.540140443,0.88999215,0.978135442,0.95911992,0.583564336,1.3075238,0.800248525,0.740248072,0.9175421,0.8489276,0.936657633,1.12091464,0.676425851,0.935889573,1.170627232,1.276284603,0.811891745,3.641373829,0.90946186,1.413212126,0.749557967,1.050605041,0.881851868,0.974570935
acp3U,0.852124989,0.585789355,1.100178722,1.08514321,1.038661941,0.975169748,1.02164276,1.004183405,1.055351466,1.056027626,0.967744688,1.074023793,0.989472695,1.056067192,1.062112706,1.099758361,1.072463965,0.975897312,1.013231547,1.028981734,1.108951269,1.046716165,1.046231531,1.078602553,0.981833643,1.048633021,1.070021151,1.044178953,1.020478871,0.966875887,1.063692365,0.91040914,1.017257821,1.018191544,0.970547754,1.027718883,1.023501315,1.029670765,1.076350182,1.031357629,0.946282474,0.963338549,0.970140495,0.957370422,1.115350935,0.967558099,0.977775996,1.066922556,1.003465139,1.00596556,1.030333885,0.943656156,1.031069792,0.990048917,0.993011206,0.688618044,1.06470194,1.023846125,0.947199925,1.023972127,0.963704704,1.041171317,1.032357745,1.057792256,1.032003924,1.015042272,1.051652597,0.931052145,0.999887095,0.982596628,0.950249761,0.979458065,1.02785184,1.024671787,1.017433623,1.042130827,0.964351577,1.045758015,1.003814547,0.99940047,0.999248833,0.954341717,1.029536735,0.956919596,0.990589528,0.938548802,0.982842809,0.999046603,0.792026084,0.967803816,0.919033826,0.989802056,0.970404322,0.93395592,1.03307122,0.979524006
Am,1.064710279,1.159132369,0.906782344,0.972274133,0.993832528,0.936497167,0.950902509,0.986078135,0.978928579,0.987760578,0.936837449,0.938277423,0.93450678,0.929300168,0.974616863,1.039719909,1.023118322,0.995456407,0.968556386,1.056066426,0.975788016,1.04255628,1.043614095,0.937797643,1.02393682,0.916031369,1.063677532,1.043373271,1.040957318,0.882725481,0.995699432,1.004656734,0.985994859,1.005701347,1.006026343,0.972294239,0.967832723,0.891891315,1.043421022,1.003483416,0.943013809,1.047341172,1.056105599,1.017749214,0.951756312,1.000370657,0.986252883,0.985906242,0.975323385,0.921305769,0.988297077,0.888901046,0.977239285,1.091110703,1.023931219,1.066859893,0.961813633,0.971990156,1.011893867,1.033574821,1.047690121,1.009010157,1.052130551,1.057236779,1.053462011,0.988033915,0.985299058,1.043257447,0.98600117,1.030114993,0.924214949,1.020037228,0.978884353,0.865409127,0.985536681,1.037901505,1.026161498,1.063976387,1.012115157,1.021185965,1.040973535,1.029087362,1.017296473,1.003409091,0.932499052,1.060308363,1.027004294,1.012652171,1.090296903,1.062985854,1.03329248,0.957222341,1.007095185,1.081633299,0.99550979,0
Cm,1.08878458,1.052230282,1.106462683,1.102434242,1.137324769,1.108822631,1.112857894,1.124609258,1.13495404,1.1574071,1.098934629,1.131225674,1.129757687,1.183761333,1.101128394,1.140938447,1.095592064,1.124649236,1.062874318,1.11346924,1.119037429,1.132744181,1.147026462,1.128185176,1.150646491,1.148293269,1.072393441,1.113714118,1.130544777,1.033277564,1.10146173,1.111230136,1.102856841,1.105902064,1.093678001,1.057253184,1.099247664,1.088925682,1.082665189,1.062255836,1.018323587,1.062490806,1.093071114,1.085845489,1.104928088,1.078853925,1.087134508,1.086279705,1.132877553,1.083353356,1.050361102,0.992243523,1.058192682,1.084995096,1.056634652,1.108360464,1.067818087,1.069661226,1.106019935,1.048434177,1.087542025,1.106038871,1.066911887,1.079198228,1.055933784,1.062440734,1.060483896,1.047186066,1.035103791,1.056071691,0.977042336,1.063591331,1.067458747,0.980916714,1.043471668,1.045688777,0,1.068249717,1.033083591,1.014174374,1.064392582,1.053317199,1.063823778,1.040489414,0.979848099,1.004724364,1.012603288,0,0,0.982257731,0,0.982786782,0,0,0.99973172,1.952602448
cmnm5s2U_216,2.629987838,0.594804075,0.362240777,0.349038841,0.518899783,0.509384495,0.279087502,0.141353651,0.26363607,0.331238604,0.34254972,0.262213844,0.232590502,0.5999819,0.54162139,0.404241639,0.782720228,0.780285664,0.715594091,0.453411788,0.656656245,0.564352332,0.723788252,0.487942113,0.63817593,0.629494573,0.969044841,0.744722241,1.004099732,0.7877253,0.700506228,1.594725755,0.937897561,1.651824341,1.089972948,1.128385463,0.807914718,0.585939417,0.98556266,0.907636984,1.002353375,1.488719242,1.009633595,1.40467129,1.372407325,1.545938487,1.178938854,0.98131532,1.203165119,0.792595165,0.811570307,0.996884108,1.009472201,1.388520938,1.676150129,1.30267615,1.003868141,1.436241053,1.662008948,0.985567819,1.190258013,0.758332055,1.261375094,0.99404939,1.101529519,1.279916201,1.218513823,1.605252223,1.373611469,1.366256448,0.922520911,1.075870457,1.616115416,1.082613958,0.951485344,0.886600531,1.624628054,0.9789988,1.425790172,1.099789186,1.55952043,1.329361696,0.963518553,1.172466817,1.253953667,1.082038462,1.786320111,1.078631415,1.122969324,1.007580469,0.511793615,0.51779769,0.358774005,1.909160888,1.636055748,1.13038928
cmo5U,0.614590052,1.161093095,0.90274838,0.901787406,0.53514578,0.841922981,0.848100303,0.901767279,0.921033427,0.920549464,0.845234815,0.876148662,0.899779127,0.914841556,0.9824357,0.987558377,0.943289685,0.979049331,0.894860105,0.951935609,1.000917123,0.963661438,0.933712309,0.910802836,0.540135547,0.935849551,1.037167269,0.977611973,0.956425458,0.932296529,1.011922491,0.697797818,0.958470626,0.997218968,0.96832401,0.9346556,0.956251935,0.976040978,0.982040564,0.989866026,0.962061757,1.015260135,1.072022361,0.989678878,1.061203677,0.989587746,0.936941538,1.008799066,0.966859632,1.020360522,1.024937224,0.9677189,1.066967324,1.006981326,1.061778659,0.990658703,1.05713449,1.047751116,0.96907763,1.091716198,1.016010024,1.020837693,1.068526667,1.125509634,1.12221328,1.114942069,1.16524433,1.085302764,1.041752862,1.12035194,1.035681707,1.054367937,1.083514257,1.089841245,1.134072382,1.126116588,1.126674679,1.146775512,1.11008193,1.080908814,1.128972272,1.101230838,1.148594716,1.115564995,1.077119556,1.041590206,1.208970995,1.17480773,0.491761497,1.131288753,1.141141607,1.05124507,1.170286255,1.074399254,1.151373597,1.044157573
D_115,0.94382666,0.949851299,0.824828991,0.865262099,0.823599796,0.814810545,0.893631072,0.853975851,0.945948707,0.939571398,0.903268923,0.988547997,0.901366283,0.996727608,0.948526831,0.997354327,0.941888757,0.899433355,0.915411923,0.906862313,1.092609611,0.926297073,1.008622831,1.028225188,0.97497161,1.112417327,0.986460565,1.012543732,0.961521065,0.936452707,1.004096702,0.832979501,1.038756791,0.999412088,1.015530903,1.03386641,1.042770443,1.114312706,1.092702453,1.0488217,0.892444354,0.982678903,0.838574423,0.933215278,1.23562123,0.954912513,0.978198084,1.083658503,1.034431431,1.114629257,1.008552877,0.961435218,1.043546949,0.9780721,1.052345542,0.860394203,1.112274441,1.038879516,0.971025307,1.099574322,1.040902745,1.109059185,1.072351904,1.098844498,1.059289955,1.016358707,1.077423979,0.947646951,1.07110308,1.056360865,0.973725541,1.045234475,1.11898061,1.035094272,1.033260026,1.079057218,0.965035931,1.124038566,1.064803062,1.07060079,1.042113277,0.98981465,1.082903068,1.029758981,1.059592359,0.914786117,1.050612646,1.022944925,0.865375983,1.056250655,0.964374571,1.022639232,1.039482827,0.987736343,1.075753842,1.084857
D_97,0.935581594,0.9520181,0.885497819,0.883146029,0.87205015,0.816824229,0.925755893,0.871358353,0.96901375,0.89331985,0.960607662,1.038685481,0.901962463,0.984253004,0.889469912,0.981336885,0.980843402,0.922247577,0.895205686,0.938577514,1.088784659,0.958938218,0.970208795,1.044428842,0.994793026,1.124371552,0.879190798,1.033151725,0.997198621,0.952436936,1.033453825,0.865597683,1.045198764,0.982813235,0.981085514,1.00109802,0.998945139,1.080168482,1.102142104,0.987297899,0.905940397,0.997110471,0.823135977,0.961003319,1.220483215,0.918467259,0.914596085,1.039265076,1.082345284,1.123626183,1.047902817,0.958830984,1.058126201,0.945086308,1.068627749,0.855898674,1.068953669,1.04960994,0.9642752,1.090536587,1.038502884,1.124456627,1.052541664,1.091440216,1.084390035,1.013479354,1.049908919,0.928613011,1.079532055,1.047603253,0.985085336,1.029465593,1.063490732,1.003653514,1.073165892,1.113609608,0.934389266,1.172432365,1.083159789,1.076608461,1.034271112,1.034603608,1.09628211,1.015459696,1.068725768,0.925933584,1.08895155,1.0193341,0.819025785,1.06714695,0.943079169,0.999397938,0.994955533,0.991779834,1.057787104,0.995077571
Gm,1.050535373,1.097726963,1.037369429,1.041422362,1.020394359,1.052196309,0.990313437,1.010191083,1.022390103,1.054143652,0.963413758,1.010067627,1.029870886,1.01289639,1.040659898,1.05573322,1.000831977,1.027662183,0.962306209,1.020002804,1.011257572,1.049987728,1.019987103,0.997670899,1.003932299,1.000165454,1.055227881,1.007467933,1.007848038,0.971440864,1.017627589,1.042032347,1.010983352,1.001232279,0.968135173,0.964272355,1.002219378,0.994168432,1.034319524,1.007128975,0.967331026,0.988089637,1.003493575,0.997836357,1.100762161,1.014265431,0.961949936,0.987123378,0.983733361,0.958798765,0.968468688,0.93731399,0.97215576,1.003091311,0.963725106,1.016553166,0.988710997,0.959889681,0.985452283,0.99522757,0.99102315,0.960167057,1.015285266,1.050947272,0.998469778,0.999370415,1.02923372,0.994799975,0.96965306,0.967852594,0.923111399,1.005249525,0.989715271,0.969727777,0.997995688,0.992047499,1.018760638,0.974493241,0.978977662,0.976208055,0.998154264,1.010236722,0.961161769,0.993646849,0.948421718,1.00501524,1.004944391,0.995924244,0.999486409,1.055457202,0.976879805,0.939271041,0.96046227,0.97813984,0.953426251,1.126294611
ho5U,0.501845303,0.732159894,1.078828045,1.049489091,0.838027431,0.97214595,0.846447686,0.991496727,0.928315476,0.917574521,0.953443947,0.924640967,0.884591987,1.118413409,1.055531816,0.970619813,1.022013896,1.091163067,0.973062751,0.95650812,1.013796939,0.87594325,0.996974085,1.073326174,0.580483035,1.209348879,1.185216756,0.962090437,0.997313176,1.015039103,0.863729246,0.62711091,1.043464556,1.147505524,0.819064564,1.086271981,1.079103125,0.981444174,0.881587206,1.087470192,0.990093544,1.044508872,0.756077328,0.706970992,1.436374843,1.08455585,0.940059345,1.065846168,0.924365694,1.224975676,1.0556268,1.106303132,1.082230103,0.757353013,1.120751707,0.30251046,1.293177188,1.134188763,1.004878024,1.008669466,1.197107308,1.02315898,1.059691765,0.673130934,1.199818738,1.384871575,0.993239152,0.782425074,1.07605284,1.110768067,1.084752536,1.212136606,1.214164412,1.008237053,1.048523506,1.088310409,0.936096634,1.04576277,1.213959338,1.048098067,1.140163827,0.50169578,1.06766605,1.083663948,1.039028535,1.049797302,1.037592071,1.021926046,0.443670302,1.13182786,1.029818405,1.123042868,1.17033771,1.09260433,1.168444417,0.989541411
