"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +/- TIC Scan 02_A1.d    ***NO DATA POINTS***"
"No integration results available"
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@10.0 (572.0 -> 295.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,0.443,0.492,0.557,5.44,12.97,1.94,4.72,0.85,0.114,0.034,45.64,45.80,0.361,0.443,0.582,0.598,45.64,45.64,0.91,51.08,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"2" ,0.609,0.663,0.823,14.51,53.61,8.01,12.60,3.51,0.213,0.054,45.75,45.79,0.582,0.598,0.826,0.875,45.75,45.79,2.05,60.27,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"3" ,1.404,1.445,1.510,4.52,9.54,1.43,3.92,0.63,0.106,0.031,45.70,45.95,1.380,1.396,1.535,1.559,45.70,45.70,1.18,50.22,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"4" ,2.657,2.731,2.797,5.81,12.32,1.84,5.04,0.81,0.140,0.031,45.68,45.77,2.575,2.657,2.903,2.936,45.66,45.66,1.19,51.47,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"5" ,3.534,3.665,3.763,1.12,7.84,1.17,0.97,0.51,0.229,0.106,45.79,46.13,3.526,3.575,3.738,3.763,45.69,45.70,0.80,46.81,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"6" ,5.119,5.176,5.241,4.33,8.78,1.31,3.76,0.58,0.122,0.031,45.69,45.71,5.103,5.144,5.233,5.250,45.69,45.69,1.10,50.01,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"7" ,5.241,5.331,5.396,4.69,12.59,1.88,4.07,0.83,0.155,0.032,45.71,45.77,5.233,5.250,5.404,5.429,45.69,45.69,0.53,50.38,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"8" ,5.665,5.705,5.738,3.74,9.30,1.39,3.25,0.61,0.073,0.054,45.76,48.15,5.656,5.673,5.738,5.746,45.69,45.69,1.33,49.43,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"9" ,5.738,5.811,5.910,17.74,64.42,9.63,15.41,4.22,0.172,0.038,48.15,46.17,5.738,5.746,5.893,5.910,45.69,45.69,0.77,63.43,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"10" ,5.975,6.008,6.082,4.46,17.30,2.59,3.87,1.13,0.107,0.078,46.17,46.44,5.967,5.975,6.074,6.082,45.69,45.69,1.80,50.15,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"11" ,6.082,6.123,6.131,8.19,15.36,2.30,7.12,1.01,0.049,0.042,46.44,51.19,6.074,6.082,6.131,6.140,45.69,45.69,0.41,53.88,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"12" ,6.131,6.205,6.230,23.65,91.58,13.69,20.54,6.00,0.099,0.067,51.19,63.52,6.131,6.140,6.222,6.222,45.69,45.69,0.22,69.34,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"13" ,6.230,6.238,6.247,19.24,18.16,2.71,16.71,1.19,0.016,0.025,63.52,62.91,6.222,6.222,6.247,6.247,45.69,45.69,0.50,64.93,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"14" ,6.247,6.255,6.271,19.87,25.39,3.80,17.26,1.66,0.025,0.041,62.91,57.32,6.238,6.238,6.271,6.280,45.69,45.69,1.50,65.56,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"15" ,6.271,6.312,6.345,24.79,87.32,13.05,21.53,5.72,0.074,0.072,57.32,64.64,6.271,6.280,6.329,6.345,45.69,45.69,0.80,70.48,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"16" ,6.345,6.370,6.428,28.66,128.33,19.19,24.89,8.41,0.083,0.066,64.64,69.15,6.329,6.345,6.387,6.395,45.69,45.69,0.60,74.35,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"17" ,6.428,6.536,6.610,115.15,668.89,100.00,100.00,43.85,0.182,0.088,69.15,84.56,6.387,6.395,6.610,6.618,45.69,45.69,0.56,160.84,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"18" ,6.610,6.643,6.834,44.30,281.65,42.11,38.47,18.46,0.224,0.108,84.56,46.13,6.610,6.618,6.826,6.834,45.69,45.69,4.33,89.99,,,  ,295.0,,,,,,,,,,,

