,WT,1,2,3,4,5,6,7,8,9,10
15N-dA,963703,523400,539264,564036,563040,559231,567124,598615,598462,588279,588430
ac4C,897,1144,1216,1173,1232,671,1294,1671,1426,1420,903
acp3U,129521,184962,164606,200338,165852,240072,324957,175970,173767,174601,176808
Am,54803,51222,58832,61385,47866,73637,90431,56685,53849,59568,50598
Cm,301459,347062,377766,409314,326200,462994,544945,350762,353464,365065,315449
cm5U,34,70,86,56,36,36,47,23,43,54,56
cm5Um,7749,1671,2935,2803,3088,2439,1709,2364,1883,1267,1493
cmnm5s2U,1684,1412,1396,1868,1926,1879,2811,1785,1384,1521,1460
cmnm5U,134,125,95,133,125,160,107,90,103,67,75
cmo5U,13703,19075,19663,21596,17273,24254,22701,18564,18075,10551,18086
D,148526,170360,175199,198914,167599,224607,288957,181535,173772,177989,166556
f5C,109,335,293,237,36,396,439,153,287,158,125
f5Cm,169,100,471,909,433,1033,250,1277,300,208,136
Gm,128196,173403,177774,187767,157712,213529,301796,167885,166637,169242,154869
hm5C,126,613,832,557,312,822,1428,684,545,704,578
ho5U,1044,1476,1173,1521,1204,1966,3641,1345,751,806,1184
I,36443,48793,54096,55151,47089,64510,89079,48726,48919,50355,45434
i6A,1883,11485,10341,8548,9555,12525,19586,12026,10170,10747,10891
io6A,5061,20283,15500,8436,16540,12400,53342,11204,12721,10815,15649
m1A,285,541,789,814,582,631,654,525,991,959,576
m1G,376728,471300,479166,523121,439032,594972,781812,449715,465790,478967,415355
m1I,46117,51076,53163,59727,47506,69324,81248,56652,53969,55826,51013
m1Y,716,810,943,941,757,794,752,712,890,773,831
m227G,124,246,119,270,160,201,180,173,200,68,339
m22G,787,509,2563,464,914,1969,1956,279,603,733,592
m2A,1521080,1567062,1647160,1857089,1500547,2143175,2415281,1721218,1689094,1712872,1584735
m2G,358263,447236,461768,489318,411500,560563,744990,436842,448390,449804,405871
m3C,1038,1559,2174,1356,1188,1379,2635,1334,1743,1369,1527
m3U,24570,29619,31587,33287,28864,38215,48637,29382,30938,31609,27964
m5C,720,1054,1365,760,775,1054,1327,897,1118,852,997
m5s2U,695,869,446,684,929,411,551,547,1059,615,738
m5U,240262,240148,145,301927,266657,286767,364621,260529,307000,247608,214104
m5Um,37379,34252,36315,33800,36049,36074,32083,28480,39648,34436,32546
m62A,8467,4506,2034,1356,1835,542,2363,1705,1919,1065,2341
m6A,153755,186203,195550,214660,185763,240270,334543,203513,208215,200875,194379
m6Am,236,461,336,539,480,629,575,379,433,673,504
m6t6A,30244,47440,49588,55685,43306,62299,71535,47022,49497,49820,43693
m7G,2234772,3136642,3298283,3369232,2833621,3793702,4934561,2960241,2872000,2917221,2684288
man/galQ,679,747,1043,589,832,501,564,750,748,380,759
mchm5U (SR),239,119,152,213,129,131,171,127,102,178,111
mcm5s2U,12950,24637,26072,29070,23097,32610,39027,25618,24315,25984,23411
mcm5U,3497,947,2614,2865,2405,1380,1136,1491,2654,1861,2972
mcm5Um,3475,5105,2652,4287,2873,4493,11297,3517,10019,3548,5604
mcmo5U,12717,25518,25090,27718,22016,32803,39039,26153,23267,23945,24318
mnm5s2U,6557,14081,15095,14812,12373,16805,106,12591,13192,12620,11257
mo5U,236,137,139,110,151,235,179,119,185,86,187
ms2i6A,729,468,384,450,233,320,657,619,370,1132,663
ms2t6A ?,24534,28433,23472,26832,24309,27372,23875,17804,13991,28583,22206
ncm5s2U,66,196,108,101,212,114,211,117,88,207,184
ncm5U,148,127,217,121,124,234,163,167,141,132,159
ncm5Um?,14429,13103,13978,12600,15761,14751,13237,16283,14074,15194,13170
nm5s2U,110,68,148,72,39,125,77,97,35,103,37
oHyW,578,293,302,299,204,349,309,359,394,243,224
Q,97421,148220,151177,168494,188,189507,267113,97,136736,139560,138903
rA,33806558,43118441,44836919,46593562,40829560,51902576,70560850,42007112,43439950,41237357,39059455
rC,12002221,15837790,16808910,17528526,15095089,20030005,26031610,15265037,15087090,14905491,14441409
rG,40048130,54905493,58313617,58166459,51472831,66284128,86476546,53039215,53103758,53774431,49813122
rU,2047921,2240197,2431470,2495170,2207163,2672448,3637391,2378722,2459345,2371208,2091678
s2C,94719,125083,133579,140220,118528,165457,195653,129464,123604,128001,112815
s2U,77563,196531,211200,216156,184085,243180,353103,202362,194243,197363,182261
s4U,74091,185344,201547,207689,174725,229665,339232,195690,186586,191461,170515
t6A,52658,84572,90748,93737,80844,107996,157238,82417,88697,82838,81553
tm5s2U? ,6243,4610,5694,6933,4430,7175,9364,7587,6614,8031,4862
tm5U,401,753,561,433,488,683,658,522,496,595,496
Um,11661,16318,16207,19273,16564,23879,34492,16542,17361,17499,15728
Y,11272,12276,12700,13496,11912,16193,21003,12924,13071,12034,11313
yW,325,336,206,203,298,130,262,316,215,186,91
rC,44.39,45.19,46.48,46.63,41.68,54.3,72.98,44.42,43.76,42.18,40.47
rU,26.48,38.32,41.78,38.14,33.36,42.95,59.67,33.37,33.78,33.99,30.96
rG,59.58,90.73,97.01,96.03,82.11,108.84,145.3,82.18,83.24,85.37,78.12
rA,44.36,63.9,67.42,66.7,57.27,74.97,100.28,58.51,57.14,58.86,53.03
