Columns,04_yeast A.d,06_yeast B.d,08_yeast C.d,10_yeast D.d,12_yeast E.d,14_yeast F.d,16_yeast G.d,18_yeast H.d,20_yeast I.d
C,36.09,54.48,52.87,51.04,50.13,46.53,24.91,48.72,50.77
U,187.52,203.89,199.22,200.64,200.18,206.36,110.09,196.69,197.5
G,405.24,442.41,436.22,432.16,429.83,429.19,226.48,404.8,432.69
A,319.56,353.72,346.34,350.04,344.12,352.37,187.04,326.97,346.9
m1G,[],[],[],[],[],[],[],[],[]
m2G,[],[],[],[],[],[],[],[],[]
I,[],[],[],[],[],[],[],[],[]
ho5U,[],[],[],[],[],[],[],[],[]
s2C,[],[],[],[],[],[],[],[],[]
15N-dA,[],[],[],[],[],[],[],[],[]
ac4C,[],[],[],[],[],[],[],[],[]
acp3U,[],[],[],[],[],[],[],[],[]
Am,[],[],[],[],[],[],[],[],[]
Cm,[],[],[],[],[],[],[],[],[]
cm5U,[],[],[],[],[],[],[],[],[]
cm5Um,[],[],[],[],[],[],[],[],[]
cmnm5s2U_141,[],[],[],[],[],[],[],[],[]
cmnm5s2U_216,[],[],[],[],[],[],[],[],[]
cmnm5U,[],[],[],[],[],[],[],[],[]
cmnm5Um,[],[],[],[],[],[],[],[],[]
cmo5U,[],[],[],[],[],[],[],[],[]
ct6A,[],[],[],[],[],[],[],[],[]
D_115,[],[],[],[],[],[],[],[],[]
D_97,[],[],[],[],[],[],[],[],[]
g6A,[],[],[],[],[],[],[],[],[]
Gm,[],[],[],[],[],[],[],[],[]
i6A,[],[],[],[],[],[],[],[],[]
io6A,[],[],[],[],[],[],[],[],[]
m1A,[],[],[],[],[],[],[],[],[]
m227G,[],[],[],[],[],[],[],[],[]
m22G,[],[],[],[],[],[],[],[],[]
m28A,[],[],[],[],[],[],[],[],[]
m2A,[],[],[],[],[],[],[],[],[]
m3C,[],[],[],[],[],[],[],[],[]
m3U,[],[],[],[],[],[],[],[],[]
m5C,[],[],[],[],[],[],[],[],[]
m5s2U,[],[],[],[],[],[],[],[],[]
m5U,[],[],[],[],[],[],[],[],[]
m5Um,[],[],[],[],[],[],[],[],[]
m62A,[],[],[],[],[],[],[],[],[]
m6A,[],[],[],[],[],[],[],[],[]
m6Am,[],[],[],[],[],[],[],[],[]
m6t6A,[],[],[],[],[],[],[],[],[]
m7G,[],[],[],[],[],[],[],[],[]
m8A,[],[],[],[],[],[],[],[],[]
mcm5U,[],[],[],[],[],[],[],[],[]
mcm5Um_153,[],[],[],[],[],[],[],[],[]
mcm5Um_185,[],[],[],[],[],[],[],[],[]
mcmo5U_201,[],[],[],[],[],[],[],[],[]
mcmo5U_315,[],[],[],[],[],[],[],[],[]
mnm5s2U_172,[],[],[],[],[],[],[],[],[]
mnm5s2U_273,[],[],[],[],[],[],[],[],[]
mo5U,[],[],[],[],[],[],[],[],[]
ms2t6A_182,[],[],[],[],[],[],[],[],[]
ms2t6A_327,[],[],[],[],[],[],[],[],[]
ncm5s2U_169,[],[],[],[],[],[],[],[],[]
ncm5s2U_186,[],[],[],[],[],[],[],[],[]
ncm5U_170,[],[],[],[],[],[],[],[],[]
ncm5U_153,[],[],[],[],[],[],[],[],[]
ncm5Um,[],[],[],[],[],[],[],[],[]
nm5s2U_158,[],[],[],[],[],[],[],[],[]
Q_163,[],[],[],[],[],[],[],[],[]
Q_295,[],[],[],[],[],[],[],[],[]
s2U,[],[],[],[],[],[],[],[],[]
s4U,[],[],[],[],[],[],[],[],[]
t6A,[],[],[],[],[],[],[],[],[]
Um,[],[],[],[],[],[],[],[],[]
Y_191,[],[],[],[],[],[],[],[],[]
